Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7808823529411765,0.4230769230769231,0.8761061946902655,0.5706051873198847,0.9034196438326232
Random Forest,0.9691176470588235,0.9791666666666666,0.831858407079646,0.8995215311004785,0.9927658378985813
Gradient Boosting,0.9264705882352942,0.8795180722891566,0.6460176991150443,0.7448979591836735,0.9576719576719577
XGBoost,0.9705882352941176,0.926605504587156,0.8938053097345132,0.9099099099099099,0.9851258759813332
